id,create_date,log
6424198940e01f33f8b596fa9fe7391c,2023-10-09 00:00:01,Unable to get integration token
9851574021c269d401accc3a1381259a,2023-10-09 00:00:02,Unable to get integration token
35f4f5fc4fdd12717347c2064729930e,2023-10-09 00:00:02,Unable to get integration token
49f9dc2cb58ab8db9f59b2487fbe0768,2023-10-09 00:00:02,Unable to get integration token
4f4830735dfc264fb40d1424e3e02bb2,2023-10-09 00:00:08,Pp3.Contracts.Dto.Contract.Action.ContractActionException: Действие по автоматическому отказу не разрешено
c3a26e908605084180b05f77c367a8a0,2023-10-09 00:00:09,Unable to process OnFlushDirty interceptors
adcef5d317057946bac2ee0a390874d1,2023-10-09 00:00:09,Ошибка обработки запроса на регистрацию/изменение данных компании id: 23264576 type: 'Customer'
c3a26e908605084180b05f77c367a8a0,2023-10-09 00:00:09,"System.InvalidOperationException: У прямой закуки id=$14101044 отстуствует ФЗ
   at Granit.Cssp.Orm.Interceptors.PurchaseRequestInterceptor.Validate(PurchaseRequest purchaseRequest) in D:\pp2\source\Pp\Granit.Cssp\Orm\Interceptors\PurchaseRequestInterceptor.cs:line 55
   at Granit.Cssp.Orm.Interceptors.PurchaseRequestInterceptor.OnFlushDirty(Object entity, Object id, Object[] currentState, Object[] previousState, String[] propertyNames, IType[] types) in D:\pp2\source\Pp\Granit.Cssp\Orm\Interceptors\PurchaseRequestInterceptor.cs:line 26
   at Granit.Core.Data.NHibernate.Interceptors.CompositeInterceptor.<>c__DisplayClass3_0.<OnFlushDirty>b__0(IInterceptor inter) in D:\pp2\source\Granit\Granit.Core\Data\NHibernate\Interceptors\CompositeInterceptor.cs:line 38
   at System.Linq.Enumerable.Any[TSource](IEnumerable`1 source, Func`2 predicate)
   at Granit.Core.Data.NHibernate.Interceptors.CompositeInterceptor.OnFlushDirty(Object entity, Object id, Object[] currentState, Object[] previousState, String[] propertyNames, IType[] types) in D:\pp2\source\Granit\Granit.Core\Data\NHibernate\Interceptors\CompositeInterceptor.cs:line 43
   at NHibernate.Event.Default.DefaultFlushEntityEventListener.InvokeInterceptor(ISessionImplementor session, Object entity, EntityEntry entry, Object[] values, IEntityPersister persister)
   at NHibernate.Event.Default.DefaultFlushEntityEventListener.HandleInterception(FlushEntityEvent event)
   at NHibernate.Event.Default.DefaultFlushEntityEventListener.ScheduleUpdate(FlushEntityEvent event)
   at NHibernate.Event.Default.DefaultFlushEntityEventListener.OnFlushEntity(FlushEntityEvent event)
   at NHibernate.Event.Default.AbstractFlushingEventListener.FlushEntities(FlushEvent event)
   at NHibernate.Event.Default.AbstractFlushingEventListener.FlushEverythingToExecutions(FlushEvent event)
   at NHibernate.Event.Default.DefaultFlushEventListener.OnFlush(FlushEvent event)
   at NHibernate.Impl.SessionImpl.Flush()
   at NHibernate.Impl.SessionImpl.BeforeTransactionCompletion(ITransaction tx)
   at NHibernate.Transaction.AdoTransaction.Commit()
   at Granit.Core.Data.DataScope.Dispose() in D:\pp2\source\Granit\Granit.Core\Data\DataScope.cs:line 411"
c3a26e908605084180b05f77c367a8a0,2023-10-09 00:00:09,"Execution error, job: Granit.Cssp.Jobs.PurchaseRequest.RequestAnswerExpiredToggleJob, key: 07ae0e0b-d2d6-4b64-865e-4cc382534059, args: {""Id"":14101044}"
4f4830735dfc264fb40d1424e3e02bb2,2023-10-09 00:00:09,Pp3.Contracts.Dto.Contract.Action.ContractActionException: Действие по автоматическому отказу не разрешено
